vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
right_4044,6986.0,435.92842762665816,8.502081443320776,0.0,0,7110.0,4,1,86.0
right_4077,7096.0,177.45841033492576,113.51659662170198,2.0,1,7143.0,15,14,8.0
right_4131,7151.0,492.13688824083664,-1.0,0.0,0,7191.0,11,-1,-1.0
right_4135,7206.0,1.0011041462551589,1.0011041462551589,84.0,1,7297.0,0,0,2.0
right_4161,7261.0,76.01462716593517,76.01139394013666,29.0,1,7325.0,10,10,43.0
right_4210,7316.0,391.06437577773386,-1.0,0.0,0,7352.0,17,-1,-1.0
right_4242,7371.0,341.49990784805266,1.0010075428346,0.0,0,7489.0,4,0,91.0
right_4298,7481.0,372.84490192616363,128.51873382895576,1.0,1,7530.0,17,13,3.0
right_4308,7481.0,469.9154348092873,-1.0,1.0,1,7534.0,19,-1,-1.0
right_4327,7536.0,167.3139255182325,-1.0,0.0,0,7546.0,4,-1,-1.0
right_4355,7591.0,1.0014081105262562,1.0010209065983418,83.0,1,7681.0,0,0,88.0
right_4382,7591.0,491.0322685068474,53.508330410914475,83.0,1,7702.0,7,7,58.0
right_4385,7646.0,68.51050222674377,68.51050222674377,28.0,1,7706.0,9,9,34.0
right_4396,7646.0,108.43668767177708,83.5125630795302,28.0,1,7710.0,11,11,38.0
right_4443,7701.0,494.5409457247704,-1.0,0.0,0,7743.0,21,-1,-1.0
right_4471,7756.0,309.11752437176176,1.0010095575277091,0.0,0,7873.0,3,0,90.0
right_4547,7921.0,36.235214628553074,-1.0,0.0,0,7924.0,1,-1,-1.0
right_4566,7921.0,441.8020331549458,-1.0,0.0,0,7954.0,9,-1,-1.0
right_4582,7976.0,1.001069698433014,1.001069698433014,82.0,1,8065.0,0,0,89.0
right_4613,8031.0,455.3508959952742,106.01568899541023,27.0,1,8100.0,14,14,15.0
right_4652,8086.0,415.61871040165425,-1.0,0.0,0,8119.0,17,-1,-1.0
right_4676,8141.0,289.602372753527,1.0010240212656072,0.0,0,8257.0,3,0,93.0
right_4689,8141.0,436.92957008461116,16.003106570773525,0.0,0,8265.0,5,2,84.0
right_4733,8196.0,498.74457439146937,91.01361832696614,54.0,1,8288.0,12,12,5.0
right_4790,8306.0,445.6525274738669,-1.0,0.0,0,8338.0,9,-1,-1.0
right_4800,8361.0,1.0010045812601902,1.0010045812601902,81.0,1,8449.0,0,0,88.0
right_4823,8361.0,415.13680157391366,46.00733049750966,81.0,1,8468.0,6,6,64.0
right_4852,8416.0,394.32736423555764,98.5144529304314,26.0,1,8482.0,13,13,21.0
right_4861,8471.0,134.8597764443818,-1.0,0.0,0,8491.0,10,-1,-1.0
right_4904,8526.0,123.39249119612913,-1.0,0.0,0,8533.0,1,-1,-1.0
right_4910,8526.0,293.85196767771214,1.001046589385567,0.0,0,8641.0,3,0,91.0
right_4914,8526.0,392.7818269111216,8.502092590054302,0.0,0,8646.0,4,1,87.0
right_4927,8526.0,495.97127508660776,31.00528106318973,0.0,0,8655.0,7,4,75.0
right_4935,8581.0,94.18876313199087,53.50836404419396,53.0,1,8662.0,7,7,59.0
right_4955,8636.0,98.51472322248163,98.51472322248163,4.0,1,8675.0,13,13,2.0
right_4956,8636.0,106.01578128310508,106.01578128310508,4.0,1,8677.0,14,14,4.0
right_4989,8691.0,61.003865602127625,-1.0,0.0,0,8696.0,2,-1,-1.0
right_5005,8691.0,385.26839410271486,-1.0,0.0,0,8715.0,8,-1,-1.0
right_5015,8691.0,494.24587877327576,1.001069790113604,0.0,0,8833.0,11,0,94.0
right_5034,8746.0,82.8453466895967,31.00526763484106,80.0,1,8847.0,4,4,12.0
right_5046,8746.0,453.4991416404955,61.009401969576565,80.0,1,8856.0,8,8,59.0
right_5058,8801.0,129.8808664690224,98.51454788568918,25.0,1,8866.0,13,13,35.0
right_5076,8801.0,454.3237854662351,128.5186203515519,25.0,1,8874.0,17,17,17.0
right_5084,8801.0,498.78774955964417,143.52075773069618,25.0,1,8878.0,19,16,8.0
right_5146,8911.0,270.7819871119223,1.0010940326321247,0.0,0,9025.0,3,0,92.0
right_5149,8911.0,364.32770531208894,8.502099303578234,0.0,0,9030.0,4,1,86.0
right_5174,8966.0,46.00731165368785,46.00731165368785,52.0,1,9044.0,6,6,65.0
right_5193,8966.0,441.96106821633873,83.5124147769418,52.0,1,9055.0,11,11,39.0
right_5237,9076.0,397.22754175653677,-1.0,0.0,0,9099.0,9,-1,-1.0
right_5250,9131.0,1.0010630793941004,1.0010630793941004,79.0,1,9217.0,0,0,86.0
right_5257,9131.0,19.405564320489873,16.00310908940571,79.0,1,9226.0,2,2,81.0
right_5271,9131.0,491.72457128493113,53.508341683470114,79.0,1,9238.0,7,7,52.0
right_5332,9241.0,141.32729561258634,-1.0,0.0,0,9263.0,10,-1,-1.0
right_5385,9296.0,260.23747402317815,1.0010223710805803,0.0,0,9409.0,2,0,90.0
right_5436,9351.0,476.4064550656825,91.01353789450907,51.0,1,9441.0,12,12,33.0
right_5515,9461.0,493.86462043957937,1.0011950966766108,0.0,0,9601.0,11,0,1.0
right_5578,9571.0,465.9083743413911,143.5209181618619,23.0,1,9645.0,19,18,18.0
right_5633,9681.0,245.9034176723539,1.0010922210816489,0.0,0,9793.0,2,0,88.0
right_5669,9736.0,498.1506635303609,98.51479030914804,50.0,1,9827.0,13,13,28.0
right_5741,9846.0,298.5262571524828,-1.0,0.0,0,9864.0,7,-1,-1.0
right_5767,9846.0,494.2754647234455,-1.0,0.0,0,9882.0,11,-1,-1.0
right_5771,9901.0,1.001077862240891,1.001077862240891,77.0,1,9985.0,0,0,84.0
right_5774,9901.0,8.502363511231067,8.502131065595165,77.0,1,9990.0,1,1,83.0
right_5775,9901.0,38.546484097998466,16.003172414040307,77.0,1,9993.0,2,2,79.0
right_5796,9956.0,76.01503783126162,76.0115763634293,22.0,1,10012.0,10,10,35.0
right_5804,9956.0,243.83577698515725,91.01361569463222,22.0,1,10016.0,12,12,27.0
right_5805,9956.0,299.87080823529567,98.51471811786699,22.0,1,10018.0,13,13,22.0
right_5888,10066.0,133.49989199293765,-1.0,0.0,0,10073.0,2,-1,-1.0
right_5890,10066.0,254.26073040505867,1.00105517234158,0.0,0,10177.0,3,0,87.0
right_5892,10066.0,336.71497650304815,8.502063204749845,0.0,0,10182.0,4,1,84.0
right_5909,10121.0,69.3425771083655,53.508423760414864,49.0,1,10198.0,7,7,4.0
right_5917,10121.0,350.829122234229,68.51039070922292,49.0,1,10203.0,9,9,40.0
right_5997,10231.0,276.18999725002794,-1.0,0.0,0,10247.0,5,-1,-1.0
right_6010,10231.0,489.27967198053375,1.0010256950915275,0.0,0,10369.0,9,0,93.0
right_6018,10286.0,108.97832224592554,31.00532428145709,76.0,1,10383.0,4,4,76.0
right_6027,10286.0,372.96724405232817,46.007449749882205,76.0,1,10388.0,6,6,64.0
right_6049,10341.0,95.28295847350307,91.01380869621859,21.0,1,10401.0,12,12,34.0
right_6075,10396.0,173.26762162208405,-1.0,0.0,0,10422.0,13,-1,-1.0
right_6129,10451.0,198.5997886104509,1.0010063850327808,0.0,0,10561.0,2,0,90.0
right_6175,10561.0,288.64670732328665,143.52107105170597,0.0,0,10607.0,19,14,3.0
right_6207,10616.0,37.616113052611134,-1.0,0.0,0,10620.0,2,-1,-1.0
right_6240,10616.0,492.53688912410286,1.0011711840305109,0.0,0,10753.0,10,0,1.0
right_6297,10726.0,462.3960100752988,113.51636529285351,20.0,1,10791.0,15,14,10.0
right_6298,10726.0,490.8965540426137,121.01737496803986,20.0,1,10793.0,16,13,5.0
right_6354,10836.0,168.02905451115208,1.0010048266332774,0.0,0,10945.0,1,0,93.0
right_6366,10836.0,257.6564471325836,8.502036385427742,0.0,0,10950.0,2,1,87.0
right_6398,10891.0,90.32835856463696,61.00939080145304,47.0,1,10968.0,8,8,53.0
right_6399,10891.0,235.47965638789847,68.51041045049675,47.0,1,10970.0,9,9,47.0
right_6400,10891.0,359.6838137812913,76.01145948419986,47.0,1,10972.0,10,10,39.0
right_6470,11001.0,158.62602416174474,-1.0,0.0,0,11010.0,4,-1,-1.0
right_6471,11001.0,223.3995602916841,-1.0,0.0,0,11014.0,5,-1,-1.0
right_6481,11056.0,1.0010233517556344,1.0010233517556344,74.0,1,11137.0,0,0,81.0
right_6486,11056.0,8.50238432585104,8.502170851961296,74.0,1,11142.0,1,1,1.0
right_6492,11056.0,141.46120462156813,23.50414262503807,74.0,1,11149.0,3,3,68.0
right_6588,11221.0,168.90942732784868,1.0010155890404349,0.0,0,11329.0,1,0,90.0
right_6618,11276.0,221.12309828065327,68.51026735454275,46.0,1,11355.0,9,9,47.0
right_6620,11276.0,317.5878203655593,76.01137815947966,46.0,1,11357.0,10,10,3.0
right_6638,11331.0,128.5185449802797,128.5185449802797,0.0,0,11370.0,16,16,15.0
right_6693,11386.0,327.9353520860895,-1.0,0.0,0,11404.0,5,-1,-1.0
right_6702,11386.0,496.33146683638915,1.0010084557164871,0.0,0,11521.0,9,0,88.0
right_6711,11441.0,23.554480580507,23.504150590917448,73.0,1,11532.0,3,3,77.0
right_6810,11606.0,109.96362275189881,1.0010010857964176,0.0,0,11713.0,0,0,90.0
right_6831,11606.0,490.9840108401142,46.00719363035579,0.0,0,11732.0,6,6,69.0
right_6919,11716.0,282.20419997998323,158.5227632780719,0.0,0,11762.0,20,16,6.0
right_6920,11716.0,352.12678398636126,-1.0,0.0,0,11764.0,21,-1,-1.0
right_6947,11771.0,60.22379609757093,-1.0,0.0,0,11779.0,3,-1,-1.0
right_6949,11771.0,99.8966800259995,-1.0,0.0,0,11781.0,4,-1,-1.0
right_6963,11771.0,486.52905642371627,1.001082106427873,0.0,0,11905.0,10,0,88.0
right_7035,11936.0,170.29889610659512,-1.0,0.0,0,11958.0,11,-1,-1.0
right_7045,11936.0,372.8966085578315,-1.0,0.0,0,11966.0,15,-1,-1.0
right_7049,11936.0,427.45171986278154,-1.0,0.0,0,11968.0,16,-1,-1.0
right_7060,11991.0,177.13465477062164,1.0010297055171122,0.0,0,12097.0,1,0,90.0
right_7061,11991.0,251.08834787961086,8.502100946239409,0.0,0,12102.0,2,1,85.0
right_7072,12046.0,121.08281340434651,68.5104517050591,44.0,1,12122.0,9,9,1.0
right_7075,12046.0,282.1928313225506,76.01128639285315,44.0,1,12124.0,10,10,41.0
right_7085,12101.0,113.51655462164842,113.51655462164842,0.0,0,12134.0,14,14,11.0
right_7086,12101.0,121.01759680761542,121.01759680761542,0.0,0,12136.0,15,15,12.0
right_7153,12156.0,466.1821467720903,1.001102056902198,0.0,0,12289.0,7,0,9.0
right_7158,12156.0,493.6242658471689,8.502134562965239,0.0,0,12294.0,8,1,6.0
right_7161,12211.0,33.75747038373612,23.50414001172697,71.0,1,12300.0,3,3,8.0
right_7195,12266.0,156.17438403341382,83.51241240457888,16.0,1,12319.0,11,11,2.0
right_7270,12376.0,189.74855961477613,1.0010262088302395,0.0,0,12481.0,1,0,88.0
right_7271,12376.0,275.81122413510445,8.502041068966037,0.0,0,12486.0,2,1,86.0
right_7274,12376.0,459.25639228243375,23.50408123286212,0.0,0,12492.0,4,3,71.0
right_7282,12431.0,38.50614601396229,38.50614601396229,43.0,1,12497.0,5,5,55.0
