vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
down_3216,6711.0,175.11561159472902,1.001073723477532,0.0,0,6817.0,1,0,87.0
down_3221,6711.0,346.86371127841994,16.003152252387732,0.0,0,6825.0,3,2,80.0
down_3278,6821.0,456.40166031178086,-1.0,0.0,0,6875.0,25,-1,-1.0
down_3304,6876.0,473.69083011532206,1.0010796281608805,0.0,0,7009.0,10,0,96.0
down_3309,6876.0,494.3497787473723,8.502135201933982,0.0,0,7014.0,11,1,85.0
down_3318,6931.0,23.504193761515182,23.504193761515182,71.0,1,7020.0,3,3,81.0
down_3388,7041.0,203.057057237999,-1.0,0.0,0,7070.0,14,-1,-1.0
down_3414,7096.0,130.14973897712645,1.0010060322600791,0.0,0,7201.0,1,0,91.0
down_3433,7096.0,474.78855826668433,38.50642569364578,0.0,0,7217.0,6,5,1.0
down_3474,7206.0,136.0197930742222,136.0197930742222,0.0,0,7244.0,17,17,13.0
down_3500,7206.0,480.26506959600374,-1.0,0.0,0,7261.0,26,-1,-1.0
down_3539,7261.0,479.825127499874,1.001004083821556,0.0,0,7393.0,11,0,92.0
down_3591,7371.0,463.66823613718145,158.52272933630346,15.0,1,7442.0,21,18,1.0
down_3621,7426.0,406.7702338025188,-1.0,0.0,0,7459.0,17,-1,-1.0
down_3624,7426.0,451.262373375427,-1.0,0.0,0,7461.0,18,-1,-1.0
down_3640,7481.0,39.86342938902902,1.001109869409902,0.0,0,7585.0,0,0,12.0
down_3642,7481.0,87.664386949527,8.502138118523703,0.0,0,7590.0,1,1,12.0
down_3677,7536.0,197.3112565838169,98.51454851108656,42.0,1,7618.0,13,13,50.0
down_3697,7591.0,175.99393064298823,173.524992751933,0.0,0,7637.0,21,20,13.0
down_3713,7646.0,91.94160823057881,-1.0,0.0,0,7654.0,4,-1,-1.0
down_3732,7646.0,451.12792526322653,1.0011124153178912,0.0,0,7777.0,10,0,1.0
down_3735,7646.0,482.8210494916886,8.502028071690745,0.0,0,7782.0,11,1,88.0
down_3788,7756.0,283.01816669944674,143.52068030143636,14.0,1,7822.0,19,19,23.0
down_3831,7811.0,290.2109663082286,-1.0,0.0,0,7843.0,16,-1,-1.0
down_3838,7811.0,499.8244412725617,-1.0,0.0,0,7854.0,21,-1,-1.0
